time,jogos,pontos,vitorias,empates,derrotas,gols_pro,gols_contra,saldo_gols,posicao_r19,temporada,aproveitamento,distancia_para_16,distancia_para_z4,pontos_por_jogo,gols_pro_por_jogo,gols_contra_por_jogo,saldo_por_jogo,aproveitamento_ultimos_5,variacao_posicao_ultimas_5,percentual_pontos_casa,percentual_pontos_fora,posicao_final,rebaixado,risco_rebaixamento,faixa,principais_fatores
Fluminense,19,17,4,5,10,15,24,-9,17,2024,0.2982456140350877,-1,0,0.8947368421052632,0.7894736842105263,1.263157894736842,-0.47368421052631576,0.6666666666666666,3.0,0.7647058823529411,0.23529411764705882,13.0,0.0,,,
Gremio,19,15,4,3,12,16,26,-10,18,2024,0.2631578947368421,-3,-2,0.7894736842105263,0.8421052631578947,1.368421052631579,-0.5263157894736842,0.26666666666666666,0.0,0.8666666666666667,0.13333333333333333,14.0,0.0,,,
Vitoria,19,15,4,3,12,20,32,-12,19,2024,0.2631578947368421,-3,-2,0.7894736842105263,1.0526315789473684,1.6842105263157894,-0.631578947368421,0.2,-3.0,0.6666666666666666,0.3333333333333333,11.0,0.0,,,
Atletico-GO,19,12,2,6,11,16,29,-13,20,2024,0.21052631578947367,-6,-5,0.631578947368421,0.8421052631578947,1.5263157894736843,-0.6842105263157895,0.06666666666666667,-1.0,0.25,0.75,19.0,1.0,,,
Chapecoense,18,9,1,6,11,17,35,-18,20,2026,0.16666666666666666,-12,-11,0.5,0.9444444444444444,1.9444444444444444,-1.0,,,,,,,0.9453402945682942,muito alto,"baixa pontuacao, saldo negativo, defesa vulneravel"
Remo,18,18,4,6,8,21,29,-8,19,2026,0.3333333333333333,-3,-2,1.0,1.1666666666666667,1.6111111111111112,-0.4444444444444444,,,,,,,0.9101505250516703,muito alto,"saldo negativo, defesa vulneravel, abaixo do 16o colocado"
Vasco,19,20,5,5,9,22,30,-8,17,2026,0.3508771929824561,-1,0,1.0526315789473684,1.1578947368421053,1.5789473684210527,-0.42105263157894735,,,,,,,0.8249691421947865,muito alto,"saldo negativo, defesa vulneravel, abaixo do 16o colocado"
Mirassol,18,19,5,4,9,20,25,-5,18,2026,0.35185185185185186,-2,-1,1.0555555555555556,1.1111111111111112,1.3888888888888888,-0.2777777777777778,,,,,,,0.8176669123556035,muito alto,abaixo do 16o colocado
Santos,19,21,5,6,8,27,31,-4,15,2026,0.3684210526315789,0,1,1.105263157894737,1.4210526315789473,1.631578947368421,-0.21052631578947367,,,,,,,0.7540246303175785,muito alto,defesa vulneravel
Gremio,19,21,5,6,8,21,25,-4,16,2026,0.3684210526315789,0,1,1.105263157894737,1.105263157894737,1.3157894736842106,-0.21052631578947367,,,,,,,0.7142074290800943,muito alto,risco relativo pelo conjunto de indicadores
Cruzeiro,18,24,6,6,6,24,28,-4,13,2026,0.4444444444444444,3,4,1.3333333333333333,1.3333333333333333,1.5555555555555556,-0.2222222222222222,,,,,,,0.5119102723388044,alto,defesa vulneravel
Internacional,18,21,5,6,7,21,22,-1,14,2026,0.3888888888888889,0,1,1.1666666666666667,1.1666666666666667,1.2222222222222223,-0.05555555555555555,,,,,,,0.4894283359330959,moderado,risco relativo pelo conjunto de indicadores
Botafogo,18,25,7,4,7,33,32,1,9,2026,0.46296296296296297,4,5,1.3888888888888888,1.8333333333333333,1.7777777777777777,0.05555555555555555,,,,,,,0.26175118536258823,baixo,defesa vulneravel
Corinthians,18,24,6,6,6,18,19,-1,12,2026,0.4444444444444444,3,4,1.3333333333333333,1.0,1.0555555555555556,-0.05555555555555555,,,,,,,0.24416847320859023,baixo,risco relativo pelo conjunto de indicadores
Atletico-MG,18,24,7,3,8,22,23,-1,11,2026,0.4444444444444444,3,4,1.3333333333333333,1.2222222222222223,1.2777777777777777,-0.05555555555555555,,,,,,,0.20751238788617238,baixo,risco relativo pelo conjunto de indicadores
Vitoria,18,25,7,4,7,22,25,-3,10,2026,0.46296296296296297,4,5,1.3888888888888888,1.2222222222222223,1.3888888888888888,-0.16666666666666666,,,,,,,0.17621223151557686,baixo,risco relativo pelo conjunto de indicadores
Sao Paulo,18,25,7,4,7,23,20,3,8,2026,0.46296296296296297,4,5,1.3888888888888888,1.2777777777777777,1.1111111111111112,0.16666666666666666,,,,,,,0.07128991195319771,baixo,risco relativo pelo conjunto de indicadores
Coritiba,18,26,7,5,6,24,24,0,7,2026,0.48148148148148145,5,6,1.4444444444444444,1.3333333333333333,1.3333333333333333,0.0,,,,,,,0.06848920369137816,baixo,risco relativo pelo conjunto de indicadores
Bahia,18,29,8,5,5,27,23,4,6,2026,0.5370370370370371,8,9,1.6111111111111112,1.5,1.2777777777777777,0.2222222222222222,,,,,,,0.05127795985038558,baixo,risco relativo pelo conjunto de indicadores
Athletico-PR,18,30,9,3,6,24,18,6,5,2026,0.5555555555555556,9,10,1.6666666666666667,1.3333333333333333,1.0,0.3333333333333333,,,,,,,0.020221562271889405,baixo,risco relativo pelo conjunto de indicadores
